,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,ketchikan,55.34,-131.65,288.15,82,75,3.6,US,1595361777
313,alofi,-19.06,-169.92,296.15,100,91,2.1,NU,1595361666
314,capitan miranda,-27.2,-55.8,302.15,42,100,3.1,PY,1595361778
315,ballina,-28.87,153.57,285.15,81,40,4.1,AU,1595361584
316,udachnyy,66.42,112.4,280.15,93,90,4.0,RU,1595361778
317,zhigansk,66.77,123.37,286.94,94,100,8.88,RU,1595361778
318,rabo de peixe,37.8,-25.58,294.15,73,40,2.1,PT,1595361779
319,beni suef,29.07,31.1,300.82,45,0,6.75,EG,1595361779
320,port blair,11.67,92.75,300.63,78,95,1.56,IN,1595361779
321,alakurtti,66.97,30.35,290.37,80,100,0.45,RU,1595361779
322,anito,12.45,125.29,298.79,85,100,1.55,PH,1595361780
323,ferkessedougou,9.6,-5.2,296.67,92,32,1.63,CI,1595361780
324,ambilobe,-13.2,49.05,291.91,72,39,1.69,MG,1595361780
325,fort saint james,54.43,-124.25,292.9,70,0,3.0,CA,1595361780
326,bandarbeyla,9.49,50.81,298.37,76,1,14.84,SO,1595361781
327,san benito,16.91,-89.91,308.53,35,28,0.92,GT,1595361781
328,kui buri,12.08,99.85,298.63,85,100,1.46,TH,1595361781
329,havelock,34.88,-76.9,306.15,29,20,5.7,US,1595361782
330,tazovskiy,67.47,78.7,279.66,84,82,7.54,RU,1595361782
331,ayan,56.45,138.17,284.02,94,100,7.71,RU,1595361782
332,tiarei,-17.53,-149.33,300.15,69,20,3.1,PF,1595361782
333,batesville,35.77,-91.64,307.04,55,20,4.6,US,1595361772
334,oranjemund,-28.55,16.43,289.7,51,0,1.79,NA,1595361783
335,usevya,-7.1,31.23,292.45,53,0,0.89,TZ,1595361783
336,san quintin,30.48,-115.95,295.47,66,12,7.55,MX,1595361784
337,pokhara,28.23,83.98,294.88,76,100,1.67,NP,1595361784
338,alice springs,-23.7,133.88,276.15,100,0,3.02,AU,1595361583
339,mbini,1.57,9.61,300.15,83,40,3.1,GQ,1595361784
340,inverell,-29.78,151.12,280.93,81,99,0.45,AU,1595361611
341,victoria,22.29,114.16,300.93,83,0,2.68,HK,1595361750
342,ostrovnoy,68.05,39.51,289.26,71,0,5.15,RU,1595361785
343,leshukonskoye,64.9,45.76,288.95,73,0,2.49,RU,1595361786
344,marystown,47.17,-55.15,292.62,78,17,7.38,CA,1595361786
345,beyneu,45.32,55.2,307.89,17,98,4.91,KZ,1595361786
346,billings,45.78,-108.5,303.71,28,20,3.1,US,1595361786
347,plouzane,48.38,-4.62,291.15,59,34,4.6,FR,1595361733
348,saint-louis,16.33,-15.0,308.64,38,75,1.11,SN,1595361787
349,dunedin,-45.87,170.5,277.59,72,27,13.86,NZ,1595361653
350,san rafael,-34.62,-68.33,283.2,68,89,4.67,AR,1595361787
351,adrar,20.5,-10.07,309.06,22,98,4.05,MR,1595361787
352,ruston,32.52,-92.64,305.15,52,90,3.6,US,1595361787
353,kaeo,-35.1,173.78,280.93,3,2,2.24,NZ,1595361593
354,huai yot,7.79,99.63,297.0,90,100,0.28,TH,1595361788
355,chara,56.91,118.26,281.14,78,31,1.67,RU,1595361788
356,ocean city,39.28,-74.57,306.48,43,1,3.6,US,1595361788
357,joao pinheiro,-17.74,-46.17,298.47,39,0,1.93,BR,1595361789
358,ust-barguzin,53.45,108.98,284.5,63,1,2.28,RU,1595361789
359,port macquarie,-31.43,152.92,281.48,89,75,3.6,AU,1595361789
360,mayya,61.73,130.28,289.15,72,40,5.0,RU,1595361790
361,wete,-5.06,39.73,297.25,76,21,5.91,TZ,1595361790
362,linqiong,30.42,103.46,296.15,73,40,0.21,CN,1595361790
363,pedasi,7.53,-80.03,300.28,76,100,3.89,PA,1595361791
364,chuncheng,22.17,111.79,297.85,92,53,0.09,CN,1595361792
365,asfi,32.3,-9.24,294.65,85,0,4.98,MA,1595361792
366,flin flon,54.77,-101.86,297.15,50,40,3.6,CA,1595361655
367,hualmay,-11.1,-77.61,291.51,69,30,3.57,PE,1595361792
368,ranong,9.97,98.63,298.52,83,100,0.64,TH,1595361793
369,san cristobal,7.77,-72.22,304.15,58,40,3.1,VE,1595361718
370,kommunisticheskiy,61.68,64.48,287.42,68,0,1.14,RU,1595361793
371,dryden,49.78,-92.75,293.15,60,90,1.5,CA,1595361793
372,huarmey,-10.07,-78.15,291.87,70,68,4.59,PE,1595361793
373,constitucion,-35.33,-72.42,285.44,77,95,3.9,CL,1595361794
374,canon city,38.44,-105.24,303.15,33,1,6.7,US,1595361794
375,puerto leguizamo,-0.19,-74.78,300.26,86,93,0.5,CO,1595361794
376,yar-sale,66.83,70.83,280.61,71,0,1.01,RU,1595361795
377,george,-33.96,22.46,287.15,54,0,1.0,ZA,1595361795
378,claremont,34.1,-117.72,303.71,44,1,4.1,US,1595361795
379,sorland,67.67,12.69,285.15,81,40,3.6,NO,1595361795
380,roald,62.58,6.13,283.15,81,75,3.6,NO,1595361605
381,kushima,31.46,131.23,298.71,83,16,4.92,JP,1595361796
382,barabai,-2.58,115.38,296.39,91,49,0.41,ID,1595361796
383,nicosia,35.17,33.37,300.15,74,0,6.2,CY,1595361765
384,redcar,54.62,-1.06,289.26,66,89,1.34,GB,1595361797
